,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
1634,TensorFlow 2.0 Practical,"Dr. Ryan Ahmed, Ph.D., MBA, Mitchell Bouchard, Ligency Team",4.6,546,12 total hours,84 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/tensorflow-2-practical/,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 10 practical projects",₹385,"₹8,640",Development,Data Science,Artificial Intelligence
1635,Python Tkinter Masterclass - Learn Python GUI Programming,"Tim Buchalka's Learn Programming Academy, Volkan Atış",4,545,13.5 total hours,87 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-tkinter-masterclass/,Build Python Tkinter Desktop Applications,₹556,"₹5,120",Development,Programming Languages,TkInter
1636,Applied Time Series Analysis and Forecasting with R Projects,R-Tutorials Training,4.6,545,3.5 total hours,34 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/r-applied-time-series-analysis-forecasting-r-projects-r-tutorials/,Use R to work on real world time series analysis and forecasting examples. Applied data science with R.,₹385,"₹6,080",Development,Data Science,Forecasting Model
1637,Construct 3 -  The Complete Game Creation Learning Course,Mihai Morosanu,3.6,544,8.5 total hours,118 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/construct-3/,Learn how to create games in Construct 3 (successor of construct 2) from zero all the way to uploading to  play stores.,₹385,"₹8,640",Development,Game Development,Construct Game Engine
1638,MVVM in WPF Survival Guide From A to Z,Engineer Spock,3.9,544,4.5 total hours,93 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/mvvm-in-wpf-survival-guide-from-a-to-z/,Learn how to create a maintainable Windows application applying MVVM to WPF. Introduction to Caliburn.Micro.,₹385,"₹2,880",Development,Software Engineering,Windows Presentation Foundation
1639,Automated Software Testing with TestCafe,Kaniel Outis,4.3,544,9 total hours,101 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/automated-testing-with-testcafe/,"Learn great alternative to Cypress or Selenium - Web Automation, Performance Testing, CodeceptJS, Jenkins, Percy & more!",₹385,"₹1,280",Development,Software Testing,Automation Testing
1640,MTA 98-361 Software Development Fundamentals C# Exam Prep,Sonia Cross,4.7,544,203 questions,Beginner,Null,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/mta-98-361-software-development-fundamentals-cs-exam-prep/,Be prepared for the Microsoft MTA 98-361 Software Development Fundamentals Exam with this 1 Stop Q&A,₹385,"₹1,280",Development,Software Engineering,Microsoft 98-361
1641,Android Multithreading Masterclass,Vasiliy Zukanov,4.6,544,11.5 total hours,82 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/android-multithreading/,"Complete guide to multithreading in Android. From fundamentals to Thread Pools, RxJava and Kotlin Coroutines.",₹385,"₹8,640",Development,Mobile Development,Android Development
1642,Intermediate iOS - Get Job Ready with Swift 2,"Nick Walter, Mark Wahlbeck",3.6,544,24 total hours,143 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/intermediate-ios/,"Your beginner course got your started on iOS, this course will take you to the next level. Master making iPhone apps",₹385,"₹8,640",Development,Mobile Development,Swift
1643,Learn To Code by Making Video Games - No Experience Needed!,Aaron Craig,4.7,544,7 total hours,58 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-beginners-guide-to-making-games-with-gms-2/,"Start coding today by making games, learning in a fun and engaging way using GameMaker Studio 2",₹385,"₹8,640",Development,Game Development,Game Development Fundamentals
1644,Gatsby JS: Build Gatsby static sites with React & WordPress,Tom Phillips,4.1,543,3.5 total hours,43 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/gatsby-js-react-wordpress-graphql/,The Gatsby & WordPress stack - Learn Gatsby and generate super-fast Gatsby static sites with a WordPress backend.,₹385,"₹1,280",Development,Web Development,Gatsby.js
1645,Fundamental Data Structures & Algorithms using C language.,Shibaji Paul,4.4,543,15.5 total hours,125 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-structures-stack-queue-linkedlist/,"Learn Data Structures and algorithms for Stack, Queue, Linked List, Binary Search Tree and Heap ( using C Programming ).",₹385,"₹8,640",Development,Programming Languages,Data Structures
1646,Modern Android App Development Bootcamp With Kotlin 2020,Abd Alwahab,4.2,542,35.5 total hours,274 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-android-development-bootcamp-2019/,Learn Android App Development With Kotlin From the Beginning All the Way to Advanced Topic With the Most Easy,₹385,"₹1,280",Development,Mobile Development,Android Development
1647,Prometheus | The Complete Hands-On for Monitoring & Alerting,A to Z Mentors,4.5,542,9.5 total hours,102 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/prometheus-course/,Learn A to Z of Prometheus & Grafana from Basic to ADVANCE level; Complete Guide to Master DevOps Monitoring & Alerting,₹385,"₹2,240",Development,Software Development Tools,Prometheus Software
1648,JavaScript for Beginners - The Complete introduction to JS,Yassin Marco,4.3,541,4 total hours,28 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/javascript-for-beginners-the-complete-introduction-to-js/,Learn all the Basics of JavaScript and create various basic JavaScript programs and applications,₹385,"₹6,720",Development,Programming Languages,JavaScript
1649,"Scala Applied, Part 2",Dick Wall,4.8,541,5 total hours,118 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/stairway-to-scala-applied-part-2/,Introduction to programming in the Scala language. Scala language features.,₹385,"₹1,280",Development,Programming Languages,Scala
1650,Dynamic Programming - I,Sweet Codey,4.4,541,2.5 total hours,13 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/dynamic-programming-i/,Master the art of solving Dynamic Programming problems and acing the Coding Interviews,₹385,"₹1,280",Development,Web Development,Dynamic Programming
