,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
0,iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.8,"64,771",60.5 total hours,541 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ios-13-app-development-bootcamp/,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,₹385,"₹8,640",Development,Mobile Development,Swift
1,The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",4.7,"59,552",35 total hours,177 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",₹385,"₹5,440",Development,Programming Languages,Node.Js
2,Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,4.6,"57,709",49.5 total hours,226 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",₹385,"₹8,640",Development,Web Development,CSS
3,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",4.6,"57,696",20.5 total hours,325 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,₹385,"₹8,640",Development,Database Design & Development,MySQL
4,Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,4.6,"54,815",42.5 total hours,568 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/spring-hibernate-tutorial/,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",₹385,"₹8,640",Development,Programming Languages,Spring Framework
5,Unreal Engine C++ Developer: Learn C++ and Make Video Games,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team, Rob Brooks",4.6,"53,461",31.5 total hours,219 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/unrealcourse/,Created in collaboration with Epic Games. Learn C++ from basics while making your first 4 video games in Unreal,₹385,"₹8,640",Development,Game Development,Unreal Engine
6,The Python Mega Course: Build 10 Real World Applications,Ardit Sulce,4.6,"51,060",30.5 total hours,317 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-python-mega-course/,Go from zero to hero in Python in weeks! Learn Python the easy way by building real-life Python programs!,₹385,"₹8,640",Development,Programming Languages,Python
7,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",4.6,"49,661",19.5 total hours,177 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/docker-mastery/,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",₹385,"₹8,640",Development,Software Development Tools,Docker
8,The Complete Web Developer in 2021: Zero to Mastery,Andrei Neagoie,4.7,"48,793",37 total hours,377 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,"Learn to code and become a Web Developer in 2021 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",₹385,"₹8,640",Development,Web Development,Null
9,"Vue - The Complete Guide (w/ Router, Vuex, Composition API)",Maximilian Schwarzmüller,4.7,"48,562",49 total hours,670 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/vuejs-2-the-complete-guide/,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,₹385,"₹8,640",Development,Web Development,Vue JS
10,C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,4.5,"46,536",5.5 total hours,87 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/csharp-tutorial-for-beginners/,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",₹385,"₹8,640",Development,Programming Languages,C#
11,100 Days of Code - The Complete Python Pro Bootcamp for 2021,Dr. Angela Yu,4.7,"43,048",63.5 total hours,675 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/100-days-of-code/,"Master Python by building 100 projects in 100 days. Learn to build websites, games, apps, plus scraping and data science",₹385,"₹8,640",Development,Programming Languages,Python
12,JavaScript: Understanding the Weird Parts,Anthony Alicea,4.7,"42,158",11.5 total hours,85 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/understand-javascript/,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",₹385,"₹8,640",Development,Web Development,JavaScript
13,R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency Team",4.6,"41,938",10.5 total hours,82 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/r-programming/,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",₹385,"₹8,640",Development,Data Science,R (programming language)
14,Docker and Kubernetes: The Complete Guide,Stephen Grider,4.7,"41,608",22.5 total hours,333 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",₹385,"₹6,400",Development,Software Development Tools,Docker
15,Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,4.6,"39,644",32 total hours,198 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",₹385,"₹8,640",Development,Web Development,Django
16,Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",4.6,"39,181",46 total hours,305 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/beginning-c-plus-plus-programming/,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,₹418,"₹9,280",Development,Programming Languages,C++
17,Flutter & Dart - The Complete Guide [2021 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,"38,674",42.5 total hours,376 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,₹385,"₹8,640",Development,Mobile Development,Dart (programming language)
18,The Complete React Native + Hooks Course,Stephen Grider,4.7,"38,375",38.5 total hours,434 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-react-native-and-redux-course/,"Understand React Native with Hooks, Context, and React Navigation.",₹385,"₹6,080",Development,Mobile Development,Redux Framework
19,Deep Learning A-Z™: Hands-On Artificial Neural Networks,"Kirill Eremenko, Hadelin de Ponteves, Ligency Team",4.6,"37,828",22.5 total hours,173 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/deeplearning/,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,₹385,"₹8,640",Development,Data Science,Deep Learning
20,The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,4.6,"34,922",29 total hours,216 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/flutter-bootcamp-with-dart/,Officially created in collaboration with the Google Flutter team.,₹385,"₹8,640",Development,Mobile Development,Google Flutter
21,The Python Bible™ | Everything You Need to Program in Python,"Ziyad Yehia, Internet of Things Academy",4.6,"34,304",9 total hours,74 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-python-bible/,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,₹418,"₹9,280",Development,Programming Languages,Python
22,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Jonas Schmedtmann,4.8,"31,714",28 total hours,126 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/advanced-css-and-sass/,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",₹385,"₹8,640",Development,Web Development,CSS
23,iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.3,"31,477",49.5 total hours,474 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ios11-app-development-bootcamp/,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,₹385,"₹8,640",Development,Mobile Development,iOS Development
24,Data Science A-Z™: Real-Life Data Science Exercises Included,"Kirill Eremenko, Ligency Team",4.6,"30,211",21 total hours,217 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/datascience/,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",₹385,"₹8,640",Development,Data Science,Null
25,Complete Python Developer in 2021: Zero to Mastery,Andrei Neagoie,4.7,"29,678",30.5 total hours,329 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",₹418,"₹9,280",Development,Programming Languages,Python
26,Master Microservices with Spring Boot and Spring Cloud,in28Minutes Official,4.5,"29,411",19.5 total hours,242 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,"Go from Restful Web Services ( REST API ) to Microservices - Java , Spring Boot , Spring Cloud , Docker and Kubernetes",₹385,"₹8,640",Development,Web Development,Microservices
27,Complete C# Unity Game Developer 3D,"Ben Tristem, Rick Davidson, GameDev.tv Team",4.7,"28,962",30.5 total hours,203 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/unitycourse2/,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",₹385,"₹8,640",Development,Game Development,3D Game Development
28,The Complete Oracle SQL Certification Course,Imtiaz Ahmad,4.6,"28,452",16.5 total hours,71 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",₹385,"₹8,640",Development,Database Design & Development,Oracle SQL
29,The Complete ASP.NET MVC 5 Course,Mosh Hamedani,4.4,"28,405",7.5 total hours,139 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",₹385,"₹8,640",Development,Web Development,ASP.NET MVC
30,The Complete Android N Developer Course,"Rob Percival, Marc Stock, Codestars by Rob Percival",4.4,"28,021",32.5 total hours,272 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/complete-android-n-developer-course/,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",₹385,"₹8,640",Development,Mobile Development,Android Development
31,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,"27,486",40.5 total hours,542 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/nodejs-the-complete-guide/,"Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",₹385,"₹8,640",Development,Programming Languages,Express Framework
32,Modern JavaScript From The Beginning,Brad Traversy,4.7,"26,132",21.5 total hours,122 lectures,All Levels,https://img-c.udemycdn.com/course/240x135/1463348_52a4_2.jpg,https://www.udemy.com/course/modern-javascript-from-the-beginning/,Learn and build projects with pure JavaScript (No frameworks or libraries),₹385,"₹8,640",Development,Web Development,JavaScript
33,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,Paul Ashun,4.4,"25,887",3 total hours,71 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/scrum-certification/,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,₹385,"₹8,640",Development,Software Engineering,Agile
34,Learn and Understand NodeJS,Anthony Alicea,4.6,"25,791",13 total hours,97 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/understand-nodejs/,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",₹385,"₹8,640",Development,Web Development,Node.Js
35,"Machine Learning, Data Science and Deep Learning with Python","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.6,"25,588",15.5 total hours,116 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",₹385,"₹8,640",Development,Data Science,Machine Learning
36,Apache Kafka Series - Learn Apache Kafka for Beginners v2,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,"24,808",7.5 total hours,123 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/apache-kafka/,"START HERE: Learn Apache Kafka 2.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",₹385,"₹8,640",Development,Database Design & Development,Apache Kafka
37,"C# Intermediate: Classes, Interfaces and OOP",Mosh Hamedani,4.6,"24,787",6 total hours,45 lectures,Intermediate,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",₹385,"₹8,640",Development,Programming Languages,Object Oriented Programming
38,Statistics for Data Science and Business Analysis,"365 Careers, 365 Careers Team",4.5,"24,523",5 total hours,92 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",₹385,"₹8,640",Development,Data Science,Business Analytics
39,The Complete Angular Course: Beginner to Advanced,Mosh Hamedani,4.4,"23,986",29.5 total hours,376 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-angular-master-class/,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",₹385,"₹8,640",Development,Web Development,Angular
40,The Modern Python 3 Bootcamp,Colt Steele,4.7,"23,811",30.5 total hours,376 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-modern-python3-bootcamp/,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,₹418,"₹9,280",Development,Programming Languages,Python
41,Understanding TypeScript - 2021 Edition,Maximilian Schwarzmüller,4.7,"23,624",15 total hours,197 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/understanding-typescript/,"Don't limit the Usage of TypeScript to Angular! Learn the Basics, its Features, Workflows and how to use it!",₹385,"₹8,640",Development,Web Development,Typescript
42,React Native - The Practical Guide [2021 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,"22,233",33 total hours,346 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/react-native-the-practical-guide/,"Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",₹385,"₹8,640",Development,Mobile Development,React Native
43,The Complete Python 3 Course: Beginner to Advanced!,"Joseph Delgadillo, Nick Germaine",4.2,"22,111",18 total hours,147 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-complete/,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",₹385,"₹8,640",Development,Programming Languages,Python
44,Python A-Z™: Python For Data Science With Real Exercises!,"Kirill Eremenko, Ligency Team",4.6,"21,446",11 total hours,75 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-coding/,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",₹385,"₹8,640",Development,Data Science,Python
45,C Programming For Beginners - Master the C Language,"Tim Buchalka's Learn Programming Academy, Jason Fedin",4.4,"20,595",24 total hours,137 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/c-programming-for-beginners-/,C Programming will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,₹418,"₹9,280",Development,Programming Languages,C (programming language)
46,Angular & NodeJS - The MEAN Stack Guide [2021 Edition],Maximilian Schwarzmüller,4.7,"20,350",13 total hours,151 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,₹385,"₹8,640",Development,Web Development,MEAN Stack
47,Go: The Complete Developer's Guide (Golang),Stephen Grider,4.6,"20,235",9 total hours,83 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/go-the-complete-developers-guide/,Master the fundamentals and advanced features of the Go Programming Language (Golang),₹385,"₹5,440",Development,Programming Languages,Go (programming language)
48,Learn and Understand AngularJS,Anthony Alicea,4.5,"20,110",7 total hours,55 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/learn-angularjs/,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",₹385,"₹8,640",Development,Web Development,AngularJS
49,PHP for Beginners - Become a PHP Master - CMS Project,"Edwin Diaz, Coding Faculty Solutions",4.5,"20,041",38 total hours,341 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,₹385,"₹8,640",Development,Web Development,PHP
50,Mastering Data Structures & Algorithms using C and C++,Abdul Bari,4.6,"19,922",58.5 total hours,389 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/datastructurescncpp/,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",₹385,"₹8,640",Development,Software Engineering,Data Structures
51,The Complete React Developer Course (w/ Hooks and Redux),Andrew Mead,4.6,"19,842",39 total hours,200 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/react-2nd-edition/,"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",₹385,"₹6,400",Development,Web Development,React
52,Modern HTML & CSS From The Beginning (Including Sass),Brad Traversy,4.7,"19,487",21 total hours,129 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/modern-html-css-from-the-beginning/,"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",₹385,"₹8,640",Development,Web Development,CSS
53,Python for Absolute Beginners,Green Chameleon Learning,4.5,"19,279",4.5 total hours,110 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-for-absolute-beginners-u/,Learn Python programming from scratch with hands-on exercises in this Python course!,₹556,"₹3,200",Development,Programming Languages,Python
54,Artificial Intelligence A-Z™: Learn How To Build An AI,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Support, Luka Anicin, Ligency Team",4.4,"19,029",16.5 total hours,121 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/artificial-intelligence-az/,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",₹385,"₹8,640",Development,Data Science,Artificial Intelligence
55,Learn JIRA with real-world examples (+Confluence bonus),Kosh Sarkar,4.6,"18,819",11.5 total hours,84 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",₹385,"₹3,200",Development,Software Development Tools,JIRA
56,Python for beginners,Bharath Thippireddy,4.5,"18,441",13 total hours,275 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-core-and-advanced/,Master the fundamentals of Python while working on various usecases in easy steps,₹556,"₹1,920",Development,Web Development,Python
57,"Git Complete: The definitive, step-by-step guide to Git",Jason Taylor,4.4,"18,429",6 total hours,84 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/git-complete/,Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,₹385,"₹8,640",Development,Software Development Tools,Git
58,Rest API Testing (Automation) from Scratch-Rest Assured Java,Rahul Shetty,4.6,"18,182",24.5 total hours,152 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,"""Top Ranked #1 Rest API Test Automation & POSTMAN course from Basics to Framework with tons of Real time examples",₹385,"₹8,640",Development,Software Testing,REST Assured
59,Python for Beginners: Learn Python Programming (Python 3),Jason Cannon,4.5,"18,029",3 total hours,78 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/python-programming-projects/,"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",₹556,"₹12,160",Development,Programming Languages,Python
60,Java Programming for Complete Beginners,in28Minutes Official,4.5,"17,885",31 total hours,372 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/java-programming-tutorial-for-beginners/,Java Programming Course for Beginners to Java Object Oriented Programming. BONUS: Build REST API with Spring Boot.,₹385,"₹8,640",Development,Programming Languages,Java
